epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
32,17944.8,0.35547,0.3129,0.82523,0.99246,0.94802,0.98418,0.95518,0.28486,0.27968,0.78125,0.000275747,0.000275747,0.000275747
33,18489.7,0.36132,0.31009,0.8253,0.97935,0.95943,0.98377,0.95636,0.27142,0.2672,0.77995,0.00026161,0.00026161,0.00026161
34,19034.9,0.34932,0.30343,0.8227,0.97994,0.95929,0.98568,0.95424,0.2751,0.27143,0.78019,0.000247472,0.000247472,0.000247472
35,19586.5,0.35573,0.33572,0.82526,0.99034,0.9454,0.98444,0.95944,0.25038,0.25865,0.7787,0.000233335,0.000233335,0.000233335
36,20150.3,0.34071,0.29592,0.82139,0.98933,0.95368,0.9875,0.96081,0.25773,0.25586,0.77807,0.000219198,0.000219198,0.000219198
37,20712.5,0.35909,0.30236,0.82401,0.98164,0.96476,0.98543,0.9588,0.25686,0.25195,0.77794,0.000205061,0.000205061,0.000205061
38,21271.8,0.33548,0.28957,0.82185,0.99337,0.95019,0.98638,0.96077,0.24149,0.24574,0.77678,0.000190924,0.000190924,0.000190924
39,21826.8,0.33111,0.2818,0.81974,0.9854,0.9576,0.98596,0.95868,0.25134,0.24394,0.77808,0.000176786,0.000176786,0.000176786
40,22383.3,0.33734,0.28791,0.82306,0.99292,0.95278,0.98691,0.95742,0.26498,0.24949,0.77949,0.000162649,0.000162649,0.000162649
41,22928.4,0.29622,0.24814,0.80417,0.98984,0.95579,0.98503,0.95647,0.25699,0.2551,0.77668,0.000148512,0.000148512,0.000148512
42,23472.7,0.29857,0.24189,0.80129,0.98641,0.95269,0.9864,0.96082,0.25524,0.24724,0.77752,0.000134375,0.000134375,0.000134375
43,24017.3,0.291,0.23991,0.79957,0.99445,0.94907,0.98667,0.96118,0.24606,0.24249,0.77585,0.000120238,0.000120238,0.000120238
44,24563.7,0.28836,0.23786,0.80162,0.99088,0.94925,0.98538,0.95939,0.25385,0.24671,0.77691,0.0001061,0.0001061,0.0001061
45,25110.5,0.27989,0.23024,0.79934,0.99286,0.94894,0.98698,0.9601,0.24823,0.24106,0.77651,9.19632e-05,9.19632e-05,9.19632e-05
46,25657.2,0.28063,0.23006,0.80006,0.98921,0.9529,0.98717,0.96329,0.23011,0.23274,0.77463,7.7826e-05,7.7826e-05,7.7826e-05
47,26206.1,0.27574,0.22593,0.79659,0.98718,0.95901,0.98677,0.96208,0.25132,0.23641,0.77578,6.36888e-05,6.36888e-05,6.36888e-05
48,26754,0.27032,0.22097,0.79877,0.98721,0.95879,0.98633,0.96122,0.23899,0.22993,0.7763,4.95516e-05,4.95516e-05,4.95516e-05
49,27303.2,0.27015,0.22139,0.79756,0.98794,0.95625,0.98707,0.96438,0.22822,0.22926,0.7749,3.54144e-05,3.54144e-05,3.54144e-05
50,27851.6,0.27078,0.22437,0.79676,0.98839,0.95729,0.98689,0.96291,0.23004,0.22672,0.77505,2.12772e-05,2.12772e-05,2.12772e-05
